日期,類別,大類別,金額,貨幣,成員,帳戶,標籤,備註,收支區分,上次更新,UUID
20250915,生活起居,生活,20,TWD,自己,現金,,政大宿舍 洗衣,支,2025-09-15 08:01:06,2CE5C948-4FAE-4149-B7E4-139D7C3B3C46
20250914,晚餐,飲食,158,TWD,自己,富邦J卡信用卡,,全家 卜蜂食品 香蔥經典嫩雞胸 烤蛋白餐盒,支,2025-09-21 16:19:37,1E88D703-8F9A-4CCD-B8B0-AC2FE392B185
20250914,捷運錢,交通,25,TWD,自己,富邦J卡 一卡通功能,,台北車站到辛亥,支,2025-09-14 17:35:29,CD23299A-04CF-4CC4-8FC9-A1C371FCE93B
20250914,高鐵錢,交通,1445,TWD,自己,富邦J卡信用卡,,左營到台北,支,2025-09-21 16:19:53,3BF0EBB9-2FD5-4490-813A-ACD5D74F7ED8
20250913,生活起居,生活,100,TWD,自己,Line pay ipass money,,ODay 自助洗衣 少量洗脫烘,支,2025-09-13 21:52:41,943162FF-014E-4814-9992-7ACDB8E339EA
20250913,共享單車,交通,25,TWD,自己,富邦J卡信用卡,,借ubike 夢時代 奶奶家 來回 驗收租屋,支,2025-09-21 16:19:23,5B0AF446-870C-4FF8-9BCA-269086E7295C
20250912,捷運錢,交通,20,TWD,自己,富邦J卡 一卡通功能,,左營到後驛,支,2025-09-12 17:16:28,BB9686B7-F5A7-4766-9530-BEB452744133
20250912,捷運錢,交通,35,TWD,自己,富邦J卡 一卡通功能,,辛亥到南港,支,2025-09-12 17:15:04,B8BB4C37-2F53-4F2F-A682-5EDE89AB166C
20250912,高鐵錢,交通,1480,TWD,自己,富邦J卡信用卡,,台灣高鐵 南港到左營,支,2025-09-21 16:41:26,36608B67-7466-4E16-92F5-D9C3B91DB5D3
20250912,午餐,飲食,60,TWD,自己,現金,,老蔡水煎包 鮮肉包 高麗菜包 韭菜包,支,2025-09-12 16:35:08,015DBFBA-A56E-4BE2-A2FF-477AAB79C851
20250911,生活起居,生活,20,TWD,自己,現金,,政大宿舍 洗衣,支,2025-09-12 16:50:09,C5A9AB35-ECFC-4B42-8298-6C654DF2B660
20250911,晚餐,飲食,129,TWD,自己,現金,,富美豚骨麻辣燙 牛肉片,支,2025-09-12 16:54:35,54190B5C-7014-47FF-A578-2F0ADC1EE061
20250911,午餐,飲食,145,TWD,自己,現金,,政大原汁牛肉麵 半筋半肉麻辣牛肉麵 粗麵 小,支,2025-09-12 16:54:45,C63CA7CC-C168-4BE9-97F3-BCE4B54C82CD
20250911,投資,,77,TWD,自己,富邦證券臺幣交割戶,,富邦綜合權益息,收,2025-09-12 16:54:58,9B3807C9-6C3A-44DF-A642-CCD7C5A03208
20250910,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子,支,2025-09-21 16:41:08,620E010E-B31A-4108-A63D-E08937B0B57D
20250909,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子,支,2025-09-21 16:40:48,971D8983-4870-4347-9B86-ED17190B41DE
20250906,禮物,人際交往,935,TWD,自己,富邦J卡信用卡,,誠品 招財貓擴香石,支,2025-09-21 16:45:49,E3417228-E744-4DB5-9293-ECCF3168F264
20250906,飲料,飲食,45,TWD,自己,富邦J卡信用卡,,一番茶,支,2025-09-21 16:45:07,0FFC9BCC-58F7-4CF5-B9D4-EF0B07737A98
20250906,加油錢,交通,108,TWD,自己,富邦J卡信用卡,,政大加油站,支,2025-09-21 16:40:11,E7E93411-D859-4B23-AB62-31D05366DCAF
20250905,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子,支,2025-09-21 16:39:12,A6F46150-39F3-47B7-9796-06E4363C36AB
20250903,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子,支,2025-09-21 16:38:47,B43617A4-EAC6-4980-9178-536A8D1E2182
20250902,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子,支,2025-09-21 16:38:21,E42C80A4-19E3-430D-B290-DE121EB03BE7
20250901,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子,支,2025-09-21 16:37:52,274F7166-06BE-4522-B19F-6D074C9D18E5
